map_index,species,avibaseID,clements_scientific_name,clements_common_name,sort v2023,new_number_of_square,old_number_of_square,diff_number_of_square
282,Tauraco persa,avibase-0B36500B,Tauraco persa,Guinea Turaco,2969,7,6,1
409,Anthus cervinus,avibase-319D044A,Anthus cervinus,Red-throated Pipit,31349,10,9,1
545,Anthoscopus punctifrons,avibase-5A636137,Anthoscopus punctifrons,Sennar Penduline-Tit,21900,5,4,1
1013,Stercorarius maccormicki,avibase-7D1A9D5C,Stercorarius maccormicki,South Polar Skua,6332,1,0,1
1029,Indicator willcocksi,avibase-4373396F,Indicator willcocksi,Willcocks's Honeyguide,10749,1,0,1
1045,Phoenicurus ochruros,avibase-612B5C24,Phoenicurus ochruros,Black Redstart,29117,1,0,1
1044,Ficedula parva,avibase-6A3CA06B,Ficedula parva,Red-breasted Flycatcher,29055,1,0,1
228,Stercorarius longicaudus,avibase-1D446440,Stercorarius longicaudus,Long-tailed Jaeger,6318,1,0,1
372,Pardipicus nivosus,avibase-02E56D98,Pardipicus nivosus,Buff-spotted Woodpecker,11472,4,3,1
422,Oriolus oriolus,avibase-92A772BB,Oriolus oriolus,Eurasian Golden Oriole,19253,5,4,1
63,Tadorna tadorna,avibase-5EAB32D3,Tadorna tadorna,Common Shelduck,405,2,1,1
542,Terpsiphone rufiventer,avibase-0EDEEB49,Terpsiphone rufiventer,Black-headed Paradise-Flycatcher,20373,9,8,1
433,Cinnyricinclus leucogaster,avibase-B1A3AF6C,Cinnyricinclus leucogaster,Violet-backed Starling,27440,11,10,1
264,Ortyxelos meiffrenii,avibase-B605A049,Ortyxelos meiffrenii,Quail-plover,6265,5,4,1
1012,Calidris mauri,avibase-01060BFD,Calidris mauri,Western Sandpiper,6192,1,0,1
454,Saxicola torquatus,avibase-CF2E9674,Saxicola torquatus,African Stonechat,29188,3,2,1
374,Dendropicos elachus,avibase-C6F9E5EE,Dendropicos elachus,Little Gray Woodpecker,11065,7,6,1
200,Tringa erythropus,avibase-0895DD84,Tringa erythropus,Spotted Redshank,6114,12,11,1
