TAXON CONCEPT ID,SCIENTIFIC NAME,count,map_index,sort v2023
avibase-28CACA8F,Phoeniculus purpureus,4735,350,9407
avibase-9C69D0FD,Rhinopomastus aterrimus,911,351,9431
avibase-0CCD664D,Lophoceros nasutus,7878,352,9454
avibase-1ADEF52B,Tockus kempi,11435,353,9472
avibase-89218876,Lophoceros semifasciatus,1470,354,9450
avibase-CBC236C2,Ceratogymna elata,4,355,9484
avibase-2AAFDD00,Bycanistes fistulator,23,356,9494
avibase-EB23C9C9,Bycanistes fistulator,4,356,9495
avibase-948ED65C,Bucorvus abyssinicus,670,357,9444
avibase-B3031527,Pogonornis dubius,3066,358,10466
avibase-7DE8EBBA,Lybius vieilloti,2568,359,10436
avibase-2F467821,Pogoniulus chrysoconus,3467,361,10399
avibase-7749C92B,Pogoniulus bilineatus,200,362,10386
avibase-9EA74ADA,Pogoniulus bilineatus,39,362,10387
avibase-499B3C64,Indicator maculatus,307,364,10772
avibase-862749B0,Indicator indicator,1401,365,10780
avibase-50F3668C,Indicator minor,239,366,10761
avibase-E9ED7248,Indicator minor,506,366,10765
avibase-B2E6AB9F,Jynx torquilla,199,368,10785
avibase-390F1E35,Campethera punctuligera,1667,369,11491
avibase-CD2F7C98,Campethera abingoni,152,370,11499
avibase-F4F14B78,Campethera abingoni,10,370,11500
avibase-AE1533FC,Campethera maculosa,5,371,11482
avibase-02E56D98,Pardipicus nivosus,329,372,11472
avibase-0A241B83,Dendropicos fuscescens,562,373,11067
avibase-C6F9E5EE,Dendropicos elachus,217,374,11065
avibase-9FF4EDB5,Dendropicos obsoletus,339,375,11078
avibase-AF725C3D,Dendropicos goertae,747,376,11085
avibase-E5DF48FC,Dendropicos goertae,3634,376,11083
avibase-5BFC242D,Mirafra javanica,142,377,22144
avibase-6B089785,Mirafra javanica,189,377,22145
avibase-CC69CAE1,Mirafra javanica,5,377,22150
avibase-C49FA9A8,Mirafra rufocinnamomea,10,379,22122
avibase-148AA192,Pinarocorys erythropygia,2,380,21976
avibase-4091A51E,Calandrella brachydactyla,112,382,22249
avibase-8C357822,Eremopterix nigriceps,409,383,22018
avibase-9164F314,Eremopterix leucotis,1770,384,22012
avibase-21ADC3ED,Galerida cristata,3719,385,22382
avibase-FC79EB47,Galerida cristata,163,385,22383
avibase-0E6D5DBE,Galerida modesta,104,386,22360
avibase-94A1C447,Riparia riparia,2364,387,23636
avibase-D2854489,Riparia paludicola,3,388,23622
avibase-58C502EA,Hirundo rustica,1611,390,23772
avibase-F93910B4,Hirundo rustica,609,390,23773
avibase-F401ECCF,Hirundo lucida,4598,390,23783
avibase-B79D6B3D,Hirundo smithii,2457,391,23793
avibase-29D93FC2,Hirundo leucosoma,706,393,23767
avibase-958F4A5E,Cecropis semirufa,254,394,23841
avibase-9185D29D,Cecropis senegalensis,1061,395,23844
avibase-0D8DB4AE,Cecropis daurica,456,396,23824
avibase-3690F067,Cecropis daurica,46,396,23815
avibase-F72A871F,Cecropis daurica,857,396,23814
avibase-5ACC908D,Cecropis abyssinica,1,397,23833
avibase-97E7A30B,Pseudhirundo griseopyga,1,398,23608
avibase-6F2AF9D0,Ptyonoprogne rupestris,15,399,23727
avibase-47DA0258,Ptyonoprogne fuligula,50,400,23728
avibase-78F55CF1,Ptyonoprogne fuligula,11,400,23738
avibase-30FEC6BE,Delichon urbicum,981,401,23798
avibase-8CA8B659,Psalidoprocne obscura,1371,402,23606
avibase-008B89FA,Motacilla flava,73,403,31167
avibase-22DF91D0,Motacilla flava,5,403,31175
avibase-34DA7F52,Motacilla flava,208,403,31165
avibase-52BA5813,Motacilla flava,333,403,31173
avibase-5983D677,Motacilla flava,4408,403,31164
avibase-876F7E82,Motacilla flava,56,403,31169
avibase-9CAAD123,Motacilla flava,9,403,31168
avibase-C0876FE9,Motacilla flava,183,403,31172
avibase-CE7D41A6,Motacilla aguimp,361,405,31199
avibase-34B07766,Motacilla alba,2,405,31206
avibase-400E032C,Motacilla alba,1700,405,31202
avibase-80A3185D,Motacilla alba,1184,405,31203
avibase-250CDA58,Anthus campestris,228,406,31294
avibase-ECC3F122,Anthus leucophrys,265,407,31295
avibase-365F5E97,Anthus trivialis,584,408,31336
avibase-319D044A,Anthus cervinus,41,409,31349
avibase-0D9BFED1,Macronyx croceus,134,410,31414
avibase-3996ECD0,Prionops plumatus,962,411,19526
avibase-E12A0349,Prionops plumatus,163,411,19527
avibase-967545BC,Nilaus afer,947,412,19655
avibase-7DE7F0ED,Dryoscopus gambensis,1889,413,19665
avibase-022798AB,Tchagra senegalus,2070,414,19692
avibase-6E5BE71A,Tchagra senegalus,300,414,19694
avibase-5B3BD7A0,Laniarius barbarus,7727,415,19750
